category,semantic_score
Arts,0.31430963
Arts,0.37386465
Arts,0.26821348
Automobile,0.38242143
Automobile,0.39889252
Automobile,0.42513108
Aviation,0.39699602
Aviation,0.30347118
Aviation,0.44268256
BPO,0.3784836
BPO,0.40578586
BPO,0.44253486
Banking,0.41561055
Banking,0.42195424
Banking,0.4378063
Blockchain,0.3289041
Blockchain,0.39049527
Blockchain,0.27683997
Building and Construction,0.39542803
Building and Construction,0.44567007
Building and Construction,0.39509845
Business Analyst,0.43294472
Business Analyst,0.42047763
Business Analyst,0.36009628
Civil Engineer,0.45790702
Civil Engineer,0.3039294
Civil Engineer,0.30876368
Consultant,0.2403011
Consultant,0.4317732
Consultant,0.42670578
Data Science,0.33047116
Data Science,0.42474335
Data Science,0.37185708
Database,0.39929932
Database,0.42765775
Database,0.38454098
Designing,0.25332704
Designing,0.31695163
Designing,0.35914248
DevOps,0.33631343
DevOps,0.39145726
DevOps,0.39045346
Digital Media,0.326981
Digital Media,0.36086792
Digital Media,0.34680882
DotNet Developer,0.35369956
DotNet Developer,0.38699207
DotNet Developer,0.40296417
ETL Developer,0.34404123
ETL Developer,0.33699602
ETL Developer,0.39380044
Education,0.3476088
Education,0.34553298
Education,0.34797758
Electrical Engineering,0.45160493
Electrical Engineering,0.34509555
Electrical Engineering,0.4220461
Finance,0.4268784
Finance,0.3866157
Finance,0.41047245
Food and Beverages,0.40743938
Food and Beverages,0.41019502
Food and Beverages,0.448875
Health and Fitness,0.37192863
Health and Fitness,0.35387602
Health and Fitness,0.31268424
Human Resources,0.49787053
Human Resources,0.3815444
Human Resources,0.47488266
Information Technology,0.39049548
Information Technology,0.39281833
Information Technology,0.45116466
Java Developer,0.38652885
Java Developer,0.311009
Java Developer,0.35602316
Management,0.39677653
Management,0.37964004
Management,0.35059032
Mechanical Engineer,0.34554535
Mechanical Engineer,0.42233628
Mechanical Engineer,0.39835173
Network Security Engineer,0.36377478
Network Security Engineer,0.37680894
Network Security Engineer,0.36373013
Operations Manager,0.3889263
Operations Manager,0.44886202
Operations Manager,0.46485347
PMO,0.37114796
PMO,0.40739188
PMO,0.39510614
Public Relations,0.31873494
Public Relations,0.47086015
Public Relations,0.32956782
Python Developer,0.37784904
Python Developer,0.30811885
Python Developer,0.35562852
React Developer,0.3040997
React Developer,0.36726815
React Developer,0.45912704
SAP Developer,0.3852589
SAP Developer,0.4358117
SAP Developer,0.3747517
SQL Developer,0.3970445
SQL Developer,0.40461987
SQL Developer,0.4026502
Sales,0.47758508
Sales,0.3760249
Sales,0.40135702
Testing,0.3580502
Testing,0.34017497
Testing,0.33734766
Web Designing,0.3855972
Web Designing,0.35620952
Web Designing,0.3334834
Accountant,0.34417224
Accountant,0.3519007
Accountant,0.3413367
Advocate,0.31769708
Advocate,0.39835665
Advocate,0.25859535
Agriculture,0.24360186
Agriculture,0.32529795
Agriculture,0.2517709
Apparel,0.37475955
Apparel,0.3125264
Apparel,0.39143583
Architecture,0.3194574
Architecture,0.22875994
Architecture,0.2770446
Arts,0.232539
Arts,0.24167737
Arts,0.20499903
Automobile,0.39544564
Automobile,0.35265735
Automobile,0.42382592
Aviation,0.34930575
Aviation,0.33920962
Aviation,0.32059333
BPO,0.32500857
BPO,0.23685503
BPO,0.40204695
Banking,0.33733457
Banking,0.27519333
Banking,0.33069673
Blockchain,0.24475308
Blockchain,0.32077053
Blockchain,0.26092386
Building and Construction,0.42247316
Building and Construction,0.35353386
Building and Construction,0.32149628
Business Analyst,0.31523892
Business Analyst,0.31003633
Business Analyst,0.2632028
Civil Engineer,0.3045219
Civil Engineer,0.2560306
Civil Engineer,0.28189877
Consultant,0.21119677
Consultant,0.29745895
Consultant,0.36242193
Data Science,0.29291978
Data Science,0.27060845
Data Science,0.30386823
Database,0.30511865
Database,0.26613957
Database,0.27579892
Designing,0.18729682
Designing,0.15996088
Designing,0.27048823
DevOps,0.25701886
DevOps,0.30777037
DevOps,0.3216182
Digital Media,0.25081918
Digital Media,0.31208017
Digital Media,0.3093475
DotNet Developer,0.23271435
DotNet Developer,0.27601644
DotNet Developer,0.24187087
ETL Developer,0.27364314
ETL Developer,0.27637264
ETL Developer,0.3116683
Education,0.22394848
Education,0.15884739
Education,0.20209403
Electrical Engineering,0.32613435
Electrical Engineering,0.3171482
Electrical Engineering,0.3560189
Finance,0.34210533
Finance,0.3096908
Finance,0.28100985
Food and Beverages,0.30270535
Food and Beverages,0.30470508
Food and Beverages,0.28664654
Health and Fitness,0.2563544
Health and Fitness,0.29810965
Health and Fitness,0.2795827
Human Resources,0.3846073
Human Resources,0.34241864
Human Resources,0.38097334
Information Technology,0.28582597
Information Technology,0.3146858
Information Technology,0.37072432
Java Developer,0.26697257
Java Developer,0.23742548
Java Developer,0.25973347
Management,0.37667468
Management,0.26354882
Management,0.42180145
Mechanical Engineer,0.35682878
Mechanical Engineer,0.3619314
Mechanical Engineer,0.33732036
Network Security Engineer,0.2638533
Network Security Engineer,0.33371747
Network Security Engineer,0.31777254
Operations Manager,0.32340887
Operations Manager,0.41404656
Operations Manager,0.4097682
PMO,0.28262323
PMO,0.29894343
PMO,0.3495186
Public Relations,0.23581973
Public Relations,0.3020755
Public Relations,0.2170205
Python Developer,0.2720118
Python Developer,0.2101016
Python Developer,0.29948497
React Developer,0.22541124
React Developer,0.28661874
React Developer,0.3605556
SAP Developer,0.31064448
SAP Developer,0.3256152
SAP Developer,0.36763668
SQL Developer,0.27705106
SQL Developer,0.34063748
SQL Developer,0.3093154
Sales,0.36397865
Sales,0.36596003
Sales,0.3205286
Testing,0.2734622
Testing,0.23096377
Testing,0.27257308
Web Designing,0.25953695
Web Designing,0.31184185
Web Designing,0.19656081
Accountant,0.36076438
Accountant,0.42867097
Accountant,0.36713046
Advocate,0.37594855
Advocate,0.4338746
Advocate,0.3950857
Agriculture,0.31052127
Agriculture,0.401644
Agriculture,0.29932788
Apparel,0.383775
Apparel,0.35420328
Apparel,0.38683674
Architecture,0.35257384
Architecture,0.29119223
Architecture,0.3851164
Arts,0.2868302
Arts,0.34190798
Arts,0.24773026
Automobile,0.35966465
Automobile,0.3647689
Automobile,0.43860197
Aviation,0.38394788
Aviation,0.30230168
Aviation,0.36723718
BPO,0.35187593
BPO,0.3322781
BPO,0.4098969
Banking,0.36381593
Banking,0.3202798
Banking,0.4201526
Blockchain,0.2614517
Blockchain,0.37698275
Blockchain,0.24813662
Building and Construction,0.42914346
Building and Construction,0.408993
Building and Construction,0.3468215
Business Analyst,0.3657632
Business Analyst,0.35693133
Business Analyst,0.33481726
Civil Engineer,0.3738035
Civil Engineer,0.27715403
Civil Engineer,0.29205728
Consultant,0.2617491
Consultant,0.34953973
Consultant,0.40575814
Data Science,0.31426352
Data Science,0.35785192
Data Science,0.3749525
Database,0.3469881
Database,0.3341896
Database,0.3219844
Designing,0.23011094
Designing,0.2592987
Designing,0.310356
DevOps,0.25911465
DevOps,0.34762108
DevOps,0.37163305
Digital Media,0.30793703
Digital Media,0.34172755
Digital Media,0.33874485
DotNet Developer,0.3059818
DotNet Developer,0.32307005
DotNet Developer,0.3208912
ETL Developer,0.2830926
ETL Developer,0.29286647
ETL Developer,0.36457825
Education,0.31633696
Education,0.27386063
Education,0.27258813
Electrical Engineering,0.3924229
Electrical Engineering,0.31043568
Electrical Engineering,0.40750772
Finance,0.3952929
Finance,0.36538842
Finance,0.38237983
Food and Beverages,0.3676885
Food and Beverages,0.37595978
Food and Beverages,0.36538553
Health and Fitness,0.3613223
Health and Fitness,0.3683799
Health and Fitness,0.30644184
Human Resources,0.44411308
Human Resources,0.36567298
Human Resources,0.434373
Information Technology,0.35942292
Information Technology,0.3761084
Information Technology,0.40558428
Java Developer,0.31542042
Java Developer,0.26711646
Java Developer,0.29948115
Management,0.39027736
Management,0.3404287
Management,0.33877745
Mechanical Engineer,0.32749084
Mechanical Engineer,0.35823885
Mechanical Engineer,0.37468764
Network Security Engineer,0.28366998
Network Security Engineer,0.36864838
Network Security Engineer,0.3621815
Operations Manager,0.37399158
Operations Manager,0.44024384
Operations Manager,0.42471752
